DATA,DIA,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,TOTAL
01/05/2022,Diumenge,3666.26,3438.26,3267.70,3161.60,3115.90,3108.77,3112.97,3100.78,3304.27,3575.44,3725.54,3797.10,3832.81,3910.22,3862.98,3694.06,3621.09,3644.57,3725.20,3890.052,4166.95,4371.30,4156.52,3862.85,0.00,87113.20
02/05/2022,Dilluns,3610.26,3432.42,3319.12,3279.86,3320.34,3520.69,4105.17,4607.23,4989.30,5158.93,5301.18,5338.44,5402.16,5401.52,5272.76,5152.93,5059.88,5009.15,4949.52,5034.463,5230.98,5230.03,4716.06,4338.08,0.00,110780.50
03/05/2022,Dimarts,4085.92,3886.58,3753.99,3715.04,3723.05,3893.60,4359.09,4832.70,5155.79,5301.35,5337.44,5469.62,5555.39,5545.60,5393.74,5268.13,5148.91,5104.86,5034.21,5144.595,5329.40,5327.92,4841.20,4424.08,0.00,115632.23
04/05/2022,Dimecres,4148.88,3965.55,3813.24,3765.45,3760.44,3940.01,4447.41,4909.26,5251.49,5377.02,5448.22,5508.83,5545.90,5523.53,5368.12,5288.66,5234.23,5198.44,5148.80,5298.791,5450.01,5357.06,4853.21,4457.01,0.00,117059.56
05/05/2022,Dijous,4201.98,4003.84,3871.77,3821.17,3843.06,3996.17,4417.60,4904.85,5211.38,5286.57,5324.40,5403.97,5411.92,5426.24,5345.07,5247.03,5172.08,5117.06,5027.91,5146.497,5322.28,5389.01,4906.07,4497.98,0.00,116295.92
06/05/2022,Divendres,4210.07,3976.38,3838.81,3784.81,3795.82,3973.83,4417.49,4882.79,5183.36,5263.18,5295.42,5302.59,5369.95,5346.57,5201.39,5098.20,5007.02,4942.93,4912.49,4964.636,5081.70,5120.11,4720.83,4376.50,0.00,114066.88
07/05/2022,Dissabte,4112.93,3962.00,3778.64,3712.29,3642.30,3626.43,3657.68,3752.70,4029.74,4317.20,4464.81,4491.93,4540.21,4585.66,4450.43,4251.04,4130.98,4089.49,4136.46,4199.737,4342.19,4541.28,4263.60,3976.20,0.00,99055.91
08/05/2022,Diumenge,3679.42,3459.78,3314.00,3232.72,3178.76,3193.81,3183.67,3222.72,3435.18,3718.57,3911.37,4015.42,4037.33,4207.24,4194.86,3956.58,3865.38,3830.65,3910.73,4070.506,4298.85,4551.12,4327.54,4031.10,0.00,90827.29
09/05/2022,Dilluns,3791.71,3602.40,3493.13,3474.13,3523.08,3709.30,4273.24,4748.30,5078.37,5189.77,5285.77,5265.53,5323.20,5332.94,5215.51,5153.60,5112.78,5095.06,5027.26,5114.846,5230.61,5278.60,4791.70,4416.14,0.00,112526.98
10/05/2022,Dimarts,4136.97,3921.12,3791.12,3730.73,3729.75,3883.19,4334.64,4798.53,5107.93,5224.69,5317.23,5381.34,5433.40,5442.78,5312.68,5242.91,5207.09,5154.53,5128.87,5218.4,5300.74,5306.59,4840.46,4450.96,0.00,115396.62
